5218,2.844,1.251,6.878,0.022,-0.074,0.976,0.250,0.249,-0.491,-1.282,-4.327,233.435
5338,-5.233,7.017,-7.245,-0.057,-0.081,1.025,0.249,0.250,-0.488,3.181,-4.521,233.757
5455,-14.927,-6.930,-6.790,0.225,0.250,1.158,0.259,0.242,-0.496,-10.752,12.163,231.625
5578,0.201,10.719,5.679,-0.044,0.130,1.134,0.247,0.237,-0.495,2.231,6.535,232.355
5697,-3.955,7.928,-13.615,0.054,-0.027,0.992,0.250,0.242,-0.494,-3.098,-1.577,232.684
5814,-5.093,6.300,-9.100,0.028,-0.016,0.968,0.240,0.236,-0.500,-1.627,-0.960,233.209
5933,-6.396,0.411,-10.185,0.117,-0.412,0.827,0.238,0.241,-0.503,-7.201,-26.482,233.865
6051,-2.380,-0.875,-0.394,0.032,0.008,1.060,0.230,0.234,-0.502,-1.737,0.439,234.048
6171,2.686,-3.693,11.909,0.208,-0.015,1.078,0.228,0.235,-0.502,-10.924,-0.771,234.427
6293,7.158,-94.159,49.516,0.158,-0.125,0.911,0.200,0.240,-0.510,-9.757,-7.837,238.837
6413,-17.202,-89.092,94.378,-0.597,-0.099,0.868,0.106,0.232,-0.525,34.358,-6.531,254.058
6532,-8.794,-21.691,36.129,-0.616,-0.016,0.924,0.070,0.226,-0.521,33.674,-0.964,261.301
6650,9.083,9.949,-0.858,-0.466,-0.017,0.887,0.069,0.227,-0.523,27.726,-1.107,261.738
6770,9.310,12.565,-19.609,-0.470,-0.106,0.915,0.075,0.235,-0.514,27.004,-6.576,260.907
6892,0.919,18.384,-30.433,-0.440,-0.046,0.932,0.079,0.235,-0.511,25.273,-2.823,260.084
7012,0.157,39.305,-46.393,-0.366,-0.011,0.946,0.089,0.235,-0.511,21.138,-0.661,257.778
7128,17.071,39.182,-27.046,-0.250,-0.017,0.956,0.102,0.229,-0.507,14.651,-1.012,254.562
7247,2.188,36.382,-24.036,-0.013,-0.040,0.977,0.137,0.243,-0.513,0.765,-2.338,249.106
7367,9.266,29.829,-15.750,0.134,0.083,0.964,0.160,0.245,-0.506,-7.876,4.892,245.498
7489,5.863,10.859,3.517,0.004,0.058,0.979,0.172,0.252,-0.507,-0.217,3.416,244.276
7608,3.876,-2.861,1.531,-0.067,0.134,1.082,0.168,0.254,-0.501,3.502,7.072,245.146
7728,11.804,1.418,-10.675,-0.146,0.118,1.362,0.153,0.263,-0.508,6.081,4.949,248.430
7846,15.269,-14.779,-9.879,-0.144,-0.190,0.964,0.139,0.279,-0.503,8.325,-11.137,252.072
7965,15.969,14.245,-0.875,0.105,-0.083,0.963,0.140,0.282,-0.499,-6.192,-4.950,252.266
8088,5.486,-8.951,-0.866,0.004,-0.101,0.936,0.150,0.287,-0.502,-0.234,-6.186,251.028
8203,0.044,20.388,1.461,-0.131,-0.231,0.853,0.139,0.290,-0.499,8.453,-15.183,252.952
8323,-13.020,-8.715,1.663,0.034,-0.251,0.943,0.150,0.285,-0.496,-2.009,-14.921,250.825
8441,-18.795,-0.954,7.429,-0.148,-0.058,0.932,0.155,0.263,-0.510,9.014,-3.531,247.968
8560,-8.514,-8.741,15.260,0.044,0.230,1.220,0.164,0.246,-0.514,-2.017,10.692,244.920
8677,5.451,-12.163,20.624,-0.290,-0.076,1.018,0.155,0.249,-0.514,15.885,-4.263,246.693
