2843,41.860,-53.725,-11.060,-0.662,0.156,0.817,-0.227,0.071,-0.401,38.527,10.809,351.117
2959,21.709,-1.400,-0.420,-0.463,0.245,0.887,-0.243,0.086,-0.379,26.693,15.421,349.162
3079,6.361,-3.946,-18.366,-0.484,0.024,0.824,-0.250,0.087,-0.370,30.393,1.662,349.436
3197,8.365,4.664,7.227,-0.541,0.130,0.825,-0.254,0.094,-0.356,32.943,8.932,348.194
3317,27.046,-8.382,5.556,-0.588,0.048,0.880,-0.258,0.111,-0.359,33.684,3.145,345.209
3436,-2.555,11.366,5.162,-0.545,0.044,0.856,-0.260,0.123,-0.352,32.457,2.929,343.290
3552,13.318,1.242,-11.165,-0.556,0.121,0.830,-0.258,0.121,-0.350,33.553,8.270,343.437
3672,17.273,6.379,10.430,-0.510,-0.001,0.855,-0.259,0.127,-0.351,30.803,-0.098,342.550
3794,15.365,-4.375,-11.769,-0.526,0.167,0.767,-0.264,0.131,-0.348,33.832,12.311,342.185
3914,18.384,-11.121,25.375,-0.622,-0.784,1.212,-0.268,0.148,-0.335,23.311,-32.881,339.691
4030,0.595,-12.731,-21.438,-0.726,0.180,0.858,-0.274,0.124,-0.333,39.649,11.825,344.149
4147,-13.352,-12.294,-1.356,-0.454,-0.169,0.741,-0.282,0.104,-0.323,30.817,-12.822,348.396
4265,-28.446,-14.472,8.068,-0.552,0.058,0.704,-0.288,0.107,-0.311,37.978,4.715,348.305
4388,-29.347,-3.369,-30.091,-0.837,0.117,0.611,-0.296,0.073,-0.306,53.378,10.879,354.767
4507,-19.766,28.919,2.231,-0.833,0.099,0.668,-0.283,0.036,-0.300,50.937,8.450,1.385
4626,-3.789,60.244,25.244,-0.471,0.166,0.707,-0.268,0.041,-0.349,32.959,13.244,359.922
4743,-7.875,51.135,28.788,-0.377,0.227,0.851,-0.240,0.050,-0.382,23.174,14.917,356.698
4862,8.540,49.219,11.270,-0.355,0.168,0.917,-0.208,0.051,-0.413,20.870,10.394,354.826
4985,20.090,7.814,-13.379,-0.101,0.045,0.887,-0.185,0.059,-0.443,6.484,2.921,350.982
5105,21.761,-62.991,7.289,-0.332,0.155,0.906,-0.199,0.063,-0.428,19.889,9.742,351.095
5225,-13.283,-4.970,9.100,-0.961,0.259,1.006,-0.242,0.072,-0.383,42.762,14.444,352.027
5341,13.641,48.799,-8.479,-0.419,0.148,0.914,-0.210,0.074,-0.407,24.338,9.172,349.086
5460,29.706,46.813,12.504,-0.391,0.148,0.869,-0.187,0.084,-0.441,23.957,9.653,344.486
5580,17.526,36.601,-3.561,-0.047,-0.056,1.038,-0.148,0.109,-0.465,2.577,-3.094,332.253
5700,16.914,3.203,13.738,-0.082,0.169,1.054,-0.131,0.100,-0.469,4.419,9.136,331.254
5815,5.854,-15.969,34.597,-0.206,-0.277,0.982,-0.142,0.140,-0.461,11.407,-15.763,323.865
5934,-7.691,-24.264,39.025,-0.474,0.421,0.832,-0.170,0.135,-0.451,26.954,26.831,330.128
6053,9.958,-3.701,28.849,-0.284,-0.127,0.940,-0.163,0.171,-0.440,16.690,-7.713,322.114
6175,0.035,-12.355,12.539,-0.504,0.005,0.940,-0.169,0.180,-0.433,28.218,0.283,321.740
6294,0.928,3.089,18.856,-0.400,-0.057,0.915,-0.177,0.192,-0.431,23.608,-3.546,321.296
6411,-8.155,6.169,11.086,-0.362,-0.005,0.907,-0.170,0.195,-0.436,21.744,-0.289,319.661
6530,4.524,18.708,27.571,-0.436,0.021,0.914,-0.165,0.194,-0.445,25.488,1.307,318.983
6648,9.791,25.882,22.400,-0.215,-0.057,1.016,-0.131,0.213,-0.452,11.908,-3.203,310.303
6771,6.563,30.739,-0.350,-0.295,-0.028,0.963,-0.114,0.223,-0.452,17.038,-1.659,305.761
6891,-4.952,29.496,-2.039,-0.159,0.014,0.933,-0.082,0.227,-0.468,9.645,0.835,298.572
7008,8.076,13.632,-5.530,-0.171,-0.001,1.006,-0.070,0.219,-0.484,9.668,-0.056,296.254
7123,6.781,10.701,-11.804,-0.174,-0.073,0.986,-0.063,0.224,-0.485,9.980,-4.239,294.222
7242,0.586,18.401,-17.587,-0.099,0.023,0.982,-0.057,0.215,-0.490,5.765,1.341,293.463
7362,-2.310,8.015,-16.135,-0.097,-0.049,0.943,-0.054,0.205,-0.492,5.851,-2.972,293.260
7484,-2.354,10.526,-16.739,-0.005,0.035,0.984,-0.053,0.193,-0.496,0.284,2.045,294.096
7603,7.298,-3.771,6.851,-0.081,-0.004,1.037,-0.059,0.186,-0.497,4.446,-0.199,296.262
7719,0.928,5.617,-3.071,0.096,0.003,0.953,-0.051,0.189,-0.492,-5.728,0.209,293.799
7839,3.308,-8.627,-6.073,-0.175,-0.052,0.974,-0.065,0.192,-0.490,10.181,-3.065,297.315
7958,-2.966,0.507,-26.416,-0.113,0.115,1.077,-0.075,0.179,-0.489,5.936,6.085,301.420
8078,2.441,-0.613,-14.980,-0.134,-0.110,0.966,-0.080,0.171,-0.489,7.830,-6.490,303.625
8197,5.749,7.569,-22.041,-0.034,-0.183,1.023,-0.082,0.160,-0.485,1.896,-10.153,305.623
8316,-1.321,-1.934,-16.450,-0.054,-0.130,1.000,-0.091,0.153,-0.485,3.092,-7.417,309.381
8435,9.389,-0.656,-8.137,-0.188,-0.065,1.053,-0.096,0.147,-0.488,10.098,-3.545,311.736
8554,-5.198,10.483,-2.398,-0.037,0.056,0.966,-0.092,0.145,-0.482,2.195,3.318,311.030
8674,-0.647,1.356,0.499,-0.006,0.064,0.964,-0.092,0.139,-0.493,0.384,3.807,312.243
